"","dyadID","avg_grbs_A","avg_grbs_P","avg_housework_female_A","avg_housework_female_P","avg_housework_male_A","avg_housework_male_P","genderE_A","genderE_P","housework_fair_A","housework_fair_P","housework_satisfied_A","housework_satisfied_P","partnum2_A","partnum2_P","religion_A","religion_P"
"244",29802428,"3.95","4.2","71.1111111111111","48.8888888888889","33.3333333333333","90","1","0","3","3","5","4","2","2","Christianity","Christianity"
"245",29811081,"2.85","2.65","46","72","80","50","0","1","3","3","5","4","1","1","Agnostic","Christianity"
"246",29811081,"2.65","2.85","72","46","50","80","1","0","3","3","4","5","2","2","Christianity","Agnostic"
"247",31142588,"3.05","3.05","60","60","60","60","0","1","3","3","5","5","1","1","Christianity","Christianity"
"248",31142588,"3.05","3.05","60","60","60","60","1","0","3","3","5","5","2","2","Christianity","Christianity"
"249",31232445,"1.5","2.9","58","60","60","60","0","1","3","3","5","5","1","1","Hinduism","Hinduism"
"250",31232445,"2.9","1.5","60","58","60","60","1","0","3","3","5","5","2","2","Hinduism","Hinduism"
"251",31256405,"3.15","2.95","51.1111111111111","64.4444444444444","90","30","0","1","3","3","3","3","1","1","Christianity","Christianity"
"252",31256405,"2.95","3.15","64.4444444444444","51.1111111111111","30","90","1","0","3","3","3","3","2","2","Christianity","Christianity"
"253",31423023,"2.3","3.05","75.5555555555556","64","95","66.6666666666667","0","1","4","1","4","5","1","1","Other","Christianity"
"254",31423023,"3.05","2.3","64","75.5555555555556","66.6666666666667","95","1","0","1","4","5","4","2","2","Christianity","Other"
"255",31471311,"2.4","2.9","46","90","75","80","0","1","2","1","4","5","1","1","Christianity","Christianity"
"256",31471311,"2.9","2.4","90","46","80","75","1","0","1","2","5","4","2","2","Christianity","Christianity"
"257",31635308,"2.8","2.75","60","60","60","60","0","1","3","3","5","5","1","1","Christianity","Christianity"
"258",31635308,"2.75","2.8","60","60","60","60","1","0","3","3","5","5","2","2","Christianity","Christianity"
"259",31764329,"3.35","3.15","73.3333333333333","62","53.3333333333333","45","0","1","1","2","4","5","1","1","Christianity","Christianity"
"260",31764329,"3.15","3.35","62","73.3333333333333","45","53.3333333333333","1","0","2","1","5","4","2","2","Christianity","Christianity"
"261",31848482,"1.4","1.45","56","76","70","60","0","1","3","3","3","4","1","1","Athiest","Athiest"
"262",31848482,"1.45","1.4","76","56","60","70","1","0","3","3","4","3","2","2","Athiest","Athiest"
"263",31904581,"3.15","2.35","24","94","85","55","0","1","1","4","5","2","1","1","Christianity","Buddhism"
"264",31904581,"2.35","3.15","94","24","55","85","1","0","4","1","2","5","2","2","Buddhism","Christianity"
"265",32021977,NA,"3.3",NA,"84",NA,"50",NA,"1",NA,"4",NA,"3",NA,"1",NA,"Christianity"
"266",32021977,"3.3",NA,"84",NA,"50",NA,"1",NA,"4",NA,"3",NA,"2",NA,"Christianity",NA
"267",32048295,"3","3","32","90","90","30","0","1","2","3","4","3","1","1","Prefer not to answer","Prefer not to answer"
"268",32048295,"3","3","90","32","30","90","1","0","3","2","3","4","2","2","Prefer not to answer","Prefer not to answer"
"269",32134573,"2.7","2.9","66","68","65","50","0","1","1","3","5","4","1","1","Prefer not to answer","Prefer not to answer"
"270",32134573,"2.9","2.7","68","66","50","65","1","0","3","1","4","5","2","2","Prefer not to answer","Prefer not to answer"
"271",32166157,NA,"1.95",NA,"73.3333333333333",NA,"30",NA,"1",NA,"3",NA,"4",NA,"1",NA,"Christianity"
"272",32166157,"1.95",NA,"73.3333333333333",NA,"30",NA,"1",NA,"3",NA,"4",NA,"2",NA,"Christianity",NA
"273",32585631,"3.5","3","55.5555555555556","73.3333333333333","100","40","0","1","2","2","4","4","1","1","Christianity","Christianity"
"274",32585631,"3","3.5","73.3333333333333","55.5555555555556","40","100","1","0","2","2","4","4","2","2","Christianity","Christianity"
"275",32837451,"1.4","1.2","55.5555555555556","64.4444444444444","100","20","0","1","3","3","3","3","1","1","Agnostic","Other"
"276",32837451,"1.2","1.4","64.4444444444444","55.5555555555556","20","100","1","0","3","3","3","3","2","2","Other","Agnostic"
"277",32893460,"2","1.7","65","70","100","25","0","1","3","4","3","2","1","1","Agnostic","Athiest"
"278",32893460,"1.7","2","70","65","25","100","1","0","4","3","2","3","2","2","Athiest","Agnostic"
"279",32939460,"2.5","1.7","42.2222222222222","82.2222222222222","75","60","0","1","2","4","5","3","1","1","Other","Other"
"280",32939460,"1.7","2.5","82.2222222222222","42.2222222222222","60","75","1","0","4","2","3","5","2","2","Other","Other"
"281",32997534,"3.55","2.85","54","78","75","40","0","1","3","3","4","3","1","1","Christianity","Christianity"
"282",32997534,"2.85","3.55","78","54","40","75","1","0","3","3","3","4","2","2","Christianity","Christianity"
"283",33046177,"1.9","1.8","40","88.8888888888889","85","45","0","1","3","1","4","5","1","1","Judaism","Judaism"
"284",33046177,"1.8","1.9","88.8888888888889","40","45","85","1","0","1","3","5","4","2","2","Judaism","Judaism"
"285",33094797,"2.95","2.95","70","60","85","40","0","1","1","1","4","5","1","1","Christianity","Christianity"
"286",33094797,"2.95","2.95","60","70","40","85","1","0","1","1","5","4","2","2","Christianity","Christianity"
"287",33170169,"3.35","1.85","52","82","65","60","0","1","3","2","4","3","1","1","Christianity","Other"
"288",33170169,"1.85","3.35","82","52","60","65","1","0","2","3","3","4","2","2","Other","Christianity"
"289",33275392,"3.15","2.5","56","62","75","50","0","1","2","2","5","5","1","1","Christianity","Christianity"
"290",33275392,"2.5","3.15","62","56","50","75","1","0","2","2","5","5","2","2","Christianity","Christianity"
"291",33303114,"2.1","2.05","48","90","80","85","0","1","4","4","2","4","1","1","Christianity,Athiest","Other"
"292",33303114,"2.05","2.1","90","48","85","80","1","0","4","4","4","2","2","2","Other","Christianity,Athiest"
"293",33315985,"3.35","3.25","46.6666666666667","71.1111111111111","80","30","0","1","3","3","4","5","1","1","Christianity","Christianity"
"294",33315985,"3.25","3.35","71.1111111111111","46.6666666666667","30","80","1","0","3","3","5","4","2","2","Christianity","Christianity"
"295",33548752,"3.1","3.2","72","74","75","80","0","1","2","3","5","4","1","1","Christianity","Christianity"
"296",33548752,"3.2","3.1","74","72","80","75","1","0","3","2","4","5","2","2","Christianity","Christianity"
"297",33559952,"2.2","2.4","80","38","85","50","0","1","4","2","2","5","1","1","Christianity","Christianity"
"298",33559952,"2.4","2.2","38","80","50","85","1","0","2","4","5","2","2","2","Christianity","Christianity"
"299",33642604,"2.2","2.2","42.2222222222222","71.1111111111111","85","50","0","1","3","3","5","4","1","1","Athiest","Buddhism"
"300",33642604,"2.2","2.2","71.1111111111111","42.2222222222222","50","85","1","0","3","3","4","5","2","2","Buddhism","Athiest"
"301",33666277,"2.8","2.9","64.4444444444444","64.4444444444444","90","30","0","1","3","3","4","3","1","1","Other","Other"
"302",33666277,"2.9","2.8","64.4444444444444","64.4444444444444","30","90","1","0","3","3","3","4","2","2","Other","Other"
"303",33672471,"2.1","1.8","68.8888888888889","56","95","20","0","1","3","3","3","5","1","1","Agnostic","Christianity"
"304",33672471,"1.8","2.1","56","68.8888888888889","20","95","1","0","3","3","5","3","2","2","Christianity","Agnostic"
"305",33676931,"3.5","3","44","84","100","25","0","1","3","3","3","5","1","1","Christianity","Christianity"
"306",33676931,"3","3.5","84","44","25","100","1","0","3","3","5","3","2","2","Christianity","Christianity"
"307",33701176,"3.5","3.55","56","92","80","100","0","1","1","1","5","5","1","1","Christianity","Christianity"
"308",33701176,"3.55","3.5","92","56","100","80","1","0","1","1","5","5","2","2","Christianity","Christianity"
"309",33703455,"3.55","2.35","58","57.5","65","45","0","1","3","3","3","5","1","1","Christianity","Christianity"
"310",33703455,"2.35","3.55","57.5","58","45","65","1","0","3","3","5","3","2","2","Christianity","Christianity"
"311",33706512,"3.2","3.3","56","60","65","60","0","1","1","1","5","5","1","1","Christianity","Christianity"
"312",33706512,"3.3","3.2","60","56","60","65","1","0","1","1","5","5","2","2","Christianity","Christianity"
"313",33711907,"3","3.25","30","96","20","90","0","1","2","2","4","5","1","1","Christianity","Christianity"
"314",33711907,"3.25","3","96","30","90","20","1","0","2","2","5","4","2","2","Christianity","Christianity"
"315",33718812,"3","3","60","60","70","60","0","1","3","3","5","5","1","1","Christianity","Christianity"
"316",33718812,"3","3","60","60","60","70","1","0","3","3","5","5","2","2","Christianity","Christianity"
"317",33728504,"3","2.5","NaN","88.8888888888889","NaN","55","0","1","3","4","3","2","1","1","Prefer not to answer","Christianity"
"318",33728504,"2.5","3","88.8888888888889","NaN","55","NaN","1","0","4","3","2","3","2","2","Christianity","Prefer not to answer"
"319",33732206,"3.25","2.5","72","72","65","50","0","1","3","3","3","3","1","1","Christianity","Christianity"
"320",33732206,"2.5","3.25","72","72","50","65","1","0","3","3","3","3","2","2","Christianity","Christianity"
"321",33735733,NA,"2.75",NA,"88",NA,"85",NA,"1",NA,"5",NA,"1",NA,"1",NA,"Christianity"
"322",33735733,"2.75",NA,"88",NA,"85",NA,"1",NA,"5",NA,"1",NA,"2",NA,"Christianity",NA
