"","dyadID","partnum","gender","religion","age","sexualor","race","RecordedDate","relation_length","indinc","wfh","housework_1","housework_2","housework_3","housework_4","housework_5","housework_6","housework_7","housework_8","housework_9","housework_10","housework_11","housework_12","housework_13","housework_14","housework_fair","housework_satisfied","grbs_1","grbs_2","grbs_3","grbs_4","grbs_5","grbs_6","grbs_7","grbs_8","grbs_9","grbs_10","grbs_11","grbs_12","grbs_13","grbs_14","grbs_15","grbs_16","grbs_17","grbs_18","grbs_19","grbs_20","gatekeeping_1","gatekeeping_2","gatekeeping_3","gatekeeping_4","gatekeeping_5","gatekeeping_6","gatekeeping_7","gatekeeping_8","gatekeeping_9","gatekeeping_10","gatekeeping_11","gatekeeping_12","gatekeeping_13","gatekeeping_14","gatekeeping_15","gatekeeping_16","survey_date","relation_start","relation_days","relation_yrs","avg_gatekeeping","avg_housework_female","avg_housework_male","grbs_2.r","grbs_3.r","grbs_7.r","grbs_10.r","grbs_12.r","grbs_17.r","avg_grbs"
"14",1215551,"1",1,"Christianity",51,"Heterosexual","Latinx or Hispanic","8/15/20 20:07","2/16/88",83000,0,100,80,80,60,60,20,100,60,20,20,20,80,80,100,5,2,5,1,4,2,3,4,1,4,3,4,4,4,4,2,5,3,4,1,5,4,NA,NA,4,NA,1,5,4,NA,5,5,4,2,2,4,4,2,2020-08-01,1988-02-16,11855,32.4794520547945,3.6,76,30,5,2,5,2,2,2,3.35
"15",1215551,"2",0,"Christianity",52,"Heterosexual","Latinx or Hispanic","8/17/20 15:52","2/16/88",38000,1,20,NA,20,60,NA,NA,20,60,100,60,100,40,40,20,3,4,5,1,1,4,5,4,1,4,1,2,4,1,4,1,4,4,2,4,5,4,1,2,2,NA,1,1,4,4,5,4,1,4,4,4,NA,1,2020-08-01,1988-02-16,11855,32.4794520547945,2.84615384615385,42.2222222222222,80,5,5,5,4,5,4,4.05
"16",1534532,"1",1,"Christianity",59,"Heterosexual","White or European American","8/12/20 8:49","1/15/82",9000,0,80,80,100,80,60,20,NA,100,60,40,20,100,100,60,3,4,4,3,1,4,3,4,3,5,4,5,3,3,4,3,5,2,3,3,2,4,NA,4,4,NA,4,5,5,5,5,4,NA,2,4,4,2,2,2020-08-01,1982-01-15,14078,38.5698630136986,4.18181818181818,84.4444444444444,35,3,5,3,1,3,3,3.4
"17",1534532,"2",0,"Christianity",59,"Heterosexual","White or European American","8/12/20 12:43","1/20/82",NA,NA,60,20,20,80,100,100,60,40,60,80,80,60,20,40,2,5,5,1,1,5,3,4,5,4,5,4,4,4,4,4,5,2,4,5,4,4,2,1,1,1,NA,1,NA,1,4,5,NA,1,NA,4,2,2,2020-08-01,1982-01-20,14073,38.5561643835616,2.1,46,90,5,5,1,2,2,2,3.75
"18",1796138,"1",0,"Christianity",49,"Heterosexual","White or European American","8/7/20 9:45","10/8/00",75000,0,20,40,20,60,100,80,60,20,60,100,40,100,60,80,3,4,5,1,1,5,1,5,5,5,3,4,5,1,5,2,5,1,1,2,5,5,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2020-08-01,2000-10-08,7237,19.827397260274,2.71428571428571,52,80,5,5,1,2,5,5,3.85
"19",1796138,"2",1,"Christianity",49,"Heterosexual","White or European American","8/14/20 14:07","9/23/00",27000,1,100,100,100,100,20,40,100,100,100,80,80,20,100,100,3,3,3,3,2,4,2,3,3,4,4,4,2,4,3,4,3,3,3,4,4,4,4,5,5,NA,5,5,5,5,5,5,2,5,4,NA,5,NA,2020-08-01,2000-09-23,7252,19.8684931506849,4.58333333333333,92,55,3,4,3,2,2,3,3.2
"20",1836239,"1",0,"Judaism",42,"Heterosexual","White or European American","8/11/20 20:53","12/26/12",75000,0,60,60,80,60,100,NA,40,60,100,100,100,100,40,60,4,2,4,2,4,1,3,2,5,3,1,5,1,3,1,1,4,1,3,2,2,1,NA,2,2,NA,4,NA,4,NA,4,NA,NA,NA,2,2,NA,2,2020-08-01,2012-12-26,2775,7.6027397260274,2.85714285714286,66,100,4,2,1,1,3,3,2.05
"21",1836239,"2",1,"Judaism",39,"Heterosexual","White or European American","8/12/20 12:34","12/26/12",NA,NA,NA,60,40,60,40,NA,60,60,40,40,40,40,60,60,2,2,4,2,4,3,2,2,3,3,1,3,2,4,2,2,3,2,4,1,3,2,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,2,2,NA,NA,2020-08-01,2012-12-26,2775,7.6027397260274,3.33333333333333,53.3333333333333,40,4,2,3,3,2,2,2.4
"22",2048975,"1",0,"Judaism",46,"Heterosexual","White or European American","8/7/20 20:34","3/20/03",82000,0,100,60,100,80,80,100,100,80,60,80,100,60,40,60,3,4,4,2,5,3,2,4,5,3,2,4,2,3,3,2,4,3,4,2,3,3,NA,NA,2,2,2,2,2,2,4,NA,2,NA,NA,NA,2,NA,2020-08-01,2003-03-20,6344,17.3808219178082,2.25,74,90,4,1,1,2,3,2,2.65
"23",2048975,"2",1,"Judaism",43,"Heterosexual","White or European American","8/7/20 21:25","3/10/03",40000,1,40,40,60,60,60,100,40,60,80,20,20,60,100,100,1,5,1,3,5,1,3,4,5,3,1,5,1,5,4,1,5,3,5,1,2,1,2,NA,4,1,1,1,2,1,4,4,1,1,1,2,2,NA,2020-08-01,2003-03-10,6354,17.4082191780822,1.92307692307692,64,50,3,1,1,1,1,1,1.95
"24",2192258,"1",1,"Christianity",41,"Heterosexual","White or European American","8/8/20 10:52","7/31/01",10000,0,100,100,100,100,60,40,60,80,100,60,60,100,100,100,5,1,2,2,1,2,1,4,5,5,3,4,1,4,3,2,5,1,3,1,1,4,NA,1,2,2,4,2,5,NA,5,4,4,4,NA,NA,5,2,2020-08-01,2001-07-31,6941,19.0164383561644,3.3,94,55,4,5,1,2,2,3,2.6
"25",2192258,"2",0,"Christianity",46,"Heterosexual","White or European American","8/18/20 12:09","7/31/01",75000,1,20,20,20,20,80,100,60,60,40,100,80,20,20,20,3,4,3,2,1,4,5,2,3,5,1,4,4,2,1,5,4,5,1,2,5,5,2,2,1,1,1,1,4,NA,5,5,4,5,NA,2,2,2,2020-08-01,2001-07-31,6941,19.0164383561644,2.75,30,90,4,5,3,2,4,5,3.7
"26",2262764,"1",1,"Christianity",52,"Heterosexual","White or European American","8/8/20 7:20","11/18/84",25000,0,100,100,100,60,60,20,80,100,100,20,40,100,100,100,4,2,4,1,4,1,1,5,5,4,2,5,1,4,3,1,5,1,5,1,2,4,4,4,2,NA,2,NA,2,2,2,5,5,2,1,1,1,2,2020-08-01,1984-11-18,13040,35.7260273972603,2.66666666666667,94,35,5,2,1,1,2,1,2.35
"27",2262764,"2",0,"Christianity",53,"Heterosexual","White or European American","8/21/20 7:17","11/18/85",100000,1,20,20,20,60,80,100,20,40,40,40,100,20,40,20,2,4,4,2,4,2,2,4,5,2,4,5,1,4,4,1,5,1,4,1,4,4,1,1,1,1,1,1,1,2,5,NA,4,2,4,NA,1,1,2020-08-01,1985-11-18,12675,34.7260273972603,2,30,80,4,2,1,1,2,2,2.55
"28",4052115,"1",1,"Christianity",42,"Heterosexual","White or European American","8/7/20 17:28","6/20/05",40000,1,80,80,60,60,80,40,NA,60,100,20,60,80,100,100,3,3,1,4,5,1,1,1,5,2,1,5,1,3,1,1,3,1,5,1,2,1,4,NA,2,2,2,2,2,NA,2,NA,1,2,NA,NA,4,NA,2020-08-01,2005-06-20,5521,15.1260273972603,2.11111111111111,80,50,2,1,1,1,3,1,1.35
"29",4052115,"2",0,"Christianity",42,"Heterosexual","White or European American","8/7/20 18:11","6/10/05",35000,0,60,40,60,60,60,80,NA,60,40,100,80,20,20,20,3,3,3,3,5,3,2,3,5,3,1,5,3,3,3,2,4,1,5,1,3,2,NA,NA,1,1,1,1,4,NA,1,NA,1,1,2,2,1,NA,2020-08-01,2005-06-10,5531,15.1534246575342,1.5,42.2222222222222,80,3,1,1,1,3,1,2.2
"30",4292443,"1",1,"Christianity",36,"Heterosexual","White or European American,Latinx or Hispanic","8/20/20 20:30","8/2/12",50000,0,100,100,100,100,100,100,80,100,80,100,80,100,100,100,3,3,4,4,4,3,2,4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,5,4,4,4,NA,4,4,5,4,4,4,4,4,4,4,4,2020-08-01,2012-08-02,2921,8.0027397260274,4.15384615384615,96,95,2,2,2,2,3,2,3.15
"31",4292443,"2",0,"Christianity",30,"Heterosexual","White or European American,Latinx or Hispanic","8/20/20 21:23","8/2/12",30000,1,20,40,40,40,100,40,40,40,40,40,60,40,40,40,3,3,3,5,4,4,4,4,4,5,4,4,4,4,3,4,3,4,4,4,4,4,4,4,5,5,4,4,4,NA,NA,5,4,4,4,4,4,4,2020-08-01,2012-08-02,2921,8.0027397260274,4.25,38,60,1,2,2,2,2,2,3.25
"32",4593178,"1",1,"Christianity",43,"Heterosexual","White or European American","8/12/20 11:52","5/10/95",22000,0,60,80,60,60,40,40,NA,80,80,40,60,60,60,60,1,5,3,3,4,3,4,3,2,4,2,3,3,2,3,3,3,3,3,3,3,4,4,4,NA,4,4,NA,4,NA,NA,5,4,2,5,4,4,4,2020-08-01,1995-05-10,9215,25.2465753424658,4,66.6666666666667,45,3,2,4,3,4,3,3.15
"33",4593178,"2",0,"Christianity",46,"Heterosexual","White or European American","8/12/20 14:14","5/10/95",145000,0,40,40,60,60,80,100,NA,20,40,80,80,40,60,40,1,5,5,3,1,4,4,3,3,3,4,4,4,1,3,4,4,3,3,3,5,3,1,4,1,2,1,1,NA,NA,1,4,NA,1,5,4,NA,4,2020-08-01,1995-05-10,9215,25.2465753424658,2.27272727272727,44.4444444444444,85,3,5,3,2,5,3,3.65
"34",5339697,"1",0,"Agnostic",38,"Heterosexual","Latinx or Hispanic","8/10/20 11:37","1/1/99",NA,NA,80,60,60,60,60,60,80,100,40,60,100,40,40,20,3,2,1,4,4,1,3,3,5,3,2,4,3,4,3,1,4,1,5,1,2,3,NA,2,NA,2,NA,1,2,2,1,4,2,NA,NA,NA,NA,NA,2020-08-01,1999-01-01,7883,21.5972602739726,2,58,70,2,2,1,2,2,1,2.05
"35",5339697,"2",1,"Agnostic,Other",39,"Heterosexual","Latinx or Hispanic","8/14/20 16:41","12/31/00",67000,0,60,40,60,40,40,60,60,20,100,80,20,100,100,100,3,4,1,5,5,1,1,1,5,1,1,5,1,5,1,1,3,1,5,1,1,1,2,2,NA,2,1,1,5,5,5,5,5,5,4,1,2,NA,2020-08-01,2000-12-31,7153,19.5972602739726,3.30769230769231,68,50,1,1,1,1,1,1,1.1
"36",6359824,"1",1,"Christianity",56,"Heterosexual","White or European American","8/7/20 16:43","5/16/79",142000,0,60,60,100,80,40,40,80,80,100,40,60,100,80,80,2,5,4,1,5,1,3,3,5,5,2,5,1,3,4,1,5,3,5,2,4,4,5,5,2,4,5,5,5,5,4,5,4,5,5,5,5,4,2020-08-01,1979-05-16,15053,41.241095890411,4.57142857142857,82,45,5,1,1,1,3,1,2.7
"37",6359824,"2",0,"Christianity",58,"Heterosexual","White or European American","8/7/20 19:36","5/14/79",83000,0,20,20,20,20,100,80,20,20,40,80,80,20,20,20,3,5,4,4,4,2,4,4,5,5,4,4,1,3,2,1,5,2,4,4,4,4,NA,2,1,1,1,1,1,1,NA,NA,2,2,5,4,1,2,2020-08-01,1979-05-14,15055,41.2465753424658,1.90909090909091,22,85,2,2,1,2,3,2,2.9
"38",6894072,"1",1,"Christianity",43,"Heterosexual","Black or African American","8/9/20 11:45","5/5/00",99000,0,60,60,100,60,20,60,100,100,100,20,20,100,100,100,3,3,4,3,1,4,2,3,2,2,3,4,3,3,3,4,1,2,3,3,4,4,4,4,NA,NA,1,NA,NA,1,5,4,NA,NA,1,1,NA,2,2020-08-01,2000-05-05,7393,20.2547945205479,2.625,88,30,3,5,4,2,3,3,3.1
"39",6894072,"2",0,"Christianity",50,"Heterosexual","Black or African American","8/10/20 5:39","5/1/00",NA,NA,60,60,60,60,40,20,80,60,20,40,100,60,20,60,3,3,2,4,4,4,4,4,3,3,2,4,3,4,4,3,3,4,3,3,3,3,NA,NA,4,NA,NA,4,NA,NA,NA,NA,4,NA,4,4,4,NA,2020-08-01,2000-05-01,7397,20.2657534246575,4,54,50,2,2,3,2,2,3,2.95
"40",7403083,"1",1,"Christianity",33,"Heterosexual","White or European American","8/12/20 0:56","1/1/10",40000,0,NA,80,80,80,80,NA,60,60,60,20,NA,100,NA,80,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-01,2010-01-01,3865,10.5890410958904,NA,75,50,3,3,3,3,3,3,3.05
"41",7403083,"2",0,"Christianity",40,"Heterosexual","White or European American","8/21/20 23:21","1/1/15",25000,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2020-08-01,2015-01-01,2039,5.58630136986301,4,60,60,3,3,3,3,3,3,3
"42",10211595,"1",1,"Christianity",56,"Heterosexual","White or European American","8/12/20 9:11","9/20/85",50000,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,3,5,3,4,3,3,4,3,4,4,3,3,3,3,3,5,3,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-01,1985-09-20,12734,34.8876712328767,NA,60,60,2,3,2,3,3,2,3.1
"43",10211595,"2",0,"Christianity",65,"Heterosexual","White or European American","8/12/20 9:24","9/20/85",55000,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,3,3,4,3,4,3,3,3,4,3,3,4,4,3,4,2,4,3,4,3,3,4,NA,5,4,2,NA,4,NA,NA,NA,NA,4,NA,NA,NA,2,1,2020-08-01,1985-09-20,12734,34.8876712328767,3.8,60,60,3,2,2,2,3,2,3
"44",14872733,"1",1,"Christianity",51,"Heterosexual","White or European American","8/10/20 22:48","3/12/94",45000,1,100,100,100,100,100,40,100,100,100,100,80,100,100,100,4,3,5,2,1,4,3,3,3,5,5,5,4,4,4,2,5,2,3,4,3,5,NA,NA,4,NA,NA,NA,5,5,5,NA,4,NA,4,NA,NA,4,2020-08-01,1994-03-12,9639,26.4082191780822,4.5,100,80,4,5,3,1,2,3,3.6
"45",14872733,"2",0,"Christianity",61,"Heterosexual","White or European American","8/11/20 10:24","3/12/94",105000,0,20,20,20,20,20,100,20,20,20,60,80,20,20,20,3,5,5,2,1,2,3,2,3,4,4,2,5,1,2,3,5,4,2,2,4,5,1,1,1,1,1,1,1,1,2,NA,1,NA,NA,NA,1,1,2020-08-01,1994-03-12,9639,26.4082191780822,1.1,20,65,4,5,3,4,5,4,3.75
"46",15149174,"1",0,"Christianity",39,"Heterosexual","White or European American","8/24/20 17:47","7/1/10",85000,0,20,60,100,80,100,100,20,20,80,60,80,60,60,100,4,3,3,4,3,3,3,4,5,4,2,4,4,3,4,4,4,3,4,3,3,3,5,4,4,5,NA,4,4,4,4,NA,NA,NA,2,4,NA,4,2020-08-01,2010-07-01,3684,10.0931506849315,4,60,85,2,3,1,2,3,2,3
"47",15149174,"2",1,"Christianity",42,"Heterosexual","White or European American","8/24/20 21:49","7/1/10",88000,0,100,100,20,40,40,60,100,100,60,20,40,60,80,60,3,4,3,3,3,1,4,4,4,3,3,4,3,2,3,3,3,3,3,4,4,3,NA,NA,NA,4,5,4,NA,4,5,4,NA,4,4,5,5,5,2020-08-01,2010-07-01,3684,10.0931506849315,4.33333333333333,72,40,3,3,2,2,4,3,3.05
"48",15892965,"1",1,"Christianity",48,"Heterosexual","White or European American","8/10/20 14:59","5/20/09",10000,0,80,60,40,60,80,40,60,60,60,40,40,80,80,80,3,4,1,5,5,1,1,1,5,1,1,5,1,5,1,1,1,1,5,1,1,1,NA,NA,4,NA,1,NA,4,NA,5,NA,5,NA,4,NA,NA,4,2020-08-01,2009-05-20,4091,11.2082191780822,3.83333333333333,66,50,1,1,1,1,1,1,1
"49",15892965,"2",0,"Christianity",71,"Heterosexual","White or European American","8/24/20 14:39","5/5/10",25000,1,40,60,100,60,100,100,60,60,100,100,100,60,60,60,3,4,1,5,5,1,1,1,5,1,1,1,1,4,1,1,1,1,5,1,1,1,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,2,1,NA,1,2020-08-01,2010-05-05,3741,10.2493150684931,1.125,66,100,1,1,1,5,2,1,1.25
"50",16244806,"1",1,"Athiest",49,"Heterosexual","White or European American","8/23/20 13:46","7/5/89",NA,NA,100,100,80,80,60,20,100,100,80,60,20,20,60,60,3,3,2,2,5,1,1,2,5,4,4,5,1,4,1,1,4,1,5,2,4,4,5,NA,1,1,1,1,1,NA,5,NA,1,1,NA,NA,5,5,2020-08-01,1989-07-05,11350,31.0958904109589,1.88888888888889,78,40,4,1,1,1,2,1,2.1
